site_code,position,start_time,end_time,data_collection,number_of_records,remarks,serial_number,file_location
EXO-04,1,20/03/2024 14:00,16/05/2024 10:00,16/05/2024,1365,NA,65067136,data/data_sensors/EXO-T04/EXO-T04-1-2024_05_16.txt
EXO-04,2,20/03/2024 14:00,11/04/2024 05:00,13/05/2024,520,Data logger on the ground,65067254,data/data_sensors/EXO-T04/EXO-T04-2-2024_05_13.txt
EXO-04,0,18/07/2024 09:50,12/09/2024 14:50,12/09/2024,1350,NA,65068508,data/data_sensors/EXO-T04/EXO-04-0-2024_09_12.txt
EXO-04,1,18/07/2024 09:50,12/09/2024 14:50,12/09/2024,1350,NA,65067136,data/data_sensors/EXO-T04/EXO-04-1-2024_09_12.txt
EXO-04,2,18/07/2024 09:50,12/09/2024 14:50,12/09/2024,1350,NA,65067254,data/data_sensors/EXO-T04/EXO-04-2-2024_09_12.txt
EXO-05,0,26/06/2024 10:45,19/07/2024 09:45,19/07/2024,552,NA,757,data/data_sensors/EXO-T05/EXO-05-0-2024_07_19.txt
EXO-05,1,26/06/2024 10:50,19/07/2024 08:50,19/07/2024,551,NA,714,data/data_sensors/EXO-T05/EXO-05-1-2024_07_19.txt
EXO-05,2,26/06/2024 10:50,0024-07-19 08:50:49,19/07/2024,551,NA,405,data/data_sensors/EXO-T05/EXO-05-2-2024_07_19.txt
EXO-05,0,21/05/2024 17:45,26/06/2024 10:45,26/06/2024,858,NA,757,data/data_sensors/EXO-T05/EXO-05-0-2024_06_26.txt
EXO-05,1,21/05/2024 17:45,26/06/2024 10:45,26/06/2024,858,NA,714,data/data_sensors/EXO-T05/EXO-05-1-2024_06_26.txt
EXO-05,2,21/05/2024 17:45,26/06/2024 10:45,26/06/2024,858,NA,405,data/data_sensors/EXO-T05/EXO-05-2-2024_06_26.txt
EXO-05,0,25/03/2024 18:00,21/05/2024 16:00,21/05/2024,1367,NA,757,data/data_sensors/EXO-T05/EXO-05-0-2024_05_21.txt
EXO-05,1,25/03/2024 18:00,21/05/2024 17:00,21/05/2024,1368,NA,714,data/data_sensors/EXO-T05/EXO-05-1-2024_05_21.txt
EXO-05,2,25/03/2024 18:00,21/05/2024 17:00,21/05/2024,1368,NA,405,data/data_sensors/EXO-T05/EXO-05-2-2024_05_21.txt
EXO-05,0,19/07/2024 09:50,26/09/2024 09:50,26/09/2024,1657,NA,757,data/data_sensors/EXO-T05/EXO-05-0-2024_09_26.txt
EXO-05,1,19/07/2024 09:50,26/09/2024 09:50,26/09/2024,1657,NA,714,data/data_sensors/EXO-T05/EXO-05-1-2024_09_26.txt
EXO-05,2,19/07/2024 09:50,26/09/2024 09:50,26/09/2024,1657,NA,405,data/data_sensors/EXO-T05/EXO-05-2-2024_09_26.txt
EXO-06,0,26/06/2024 12:30,19/07/2024 10:30,19/07/2024,551,NA,65068837,data/data_sensors/EXO-T06/EXO-06-0-2024_07_19.txt
EXO-06,2,26/06/2024 12:30,19/07/2024 10:30,19/07/2024,551,NA,65067255,data/data_sensors/EXO-T06/EXO-06-2-2024_07_19.txt
EXO-06,0,28/05/2024 11:00,26/06/2024 12:00,26/06/2024,698,NA,65068837,data/data_sensors/EXO-T06/EXO-06-0-2024_06_26.txt
EXO-06,2,28/05/2024 11:00,26/06/2024 12:00,26/06/2024,698,NA,65067255,data/data_sensors/EXO-T06/EXO-06-2-2024_06_26.txt
EXO-06,0,08/04/2024 13:00,28/05/2024 10:00,28/05/2024,1198,NA,65068837,data/data_sensors/EXO-T06/EXO-06-0-2024_05_28.txt
EXO-06,1,08/04/2024 13:00,09/04/2024 12:00,28/05/2024,24,Data logger changed,65006786,data/data_sensors/EXO-T06/EXO-06-1-2024_05_28.txt
EXO-06,2,08/04/2024 13:00,19/04/2024 09:00,28/05/2024,261,Data logger changed,10221063,data/data_sensors/EXO-T06/EXO-06-2-2024_05_28.txt
EXO-06,1,19/07/2024 11:15,26/09/2024 11:15,26/09/2024,1657,NA,65067220,data/data_sensors/EXO-T06/EXO-06-1-2024_09_26.txt
EXO-06,2,19/07/2024 11:15,26/09/2024 11:15,26/09/2024,1657,NA,65067255,data/data_sensors/EXO-T06/EXO-06-2-2024_09_26.txt
EXO-07,0,26/06/2024 13:45,19/07/2024 11:45,19/07/2024,551,NA,65068521,data/data_sensors/EXO-T07/EXO-07-0-2024_07_19.txt
EXO-07,1,26/06/2024 13:45,19/07/2024 11:45,19/07/2024,551,NA,65068938,data/data_sensors/EXO-T07/EXO-07-1-2024_07_19.txt
EXO-07,2,26/06/2024 13:45,19/07/2024 11:45,19/07/2024,551,NA,65068582,data/data_sensors/EXO-T07/EXO-07-2-2024_07_19.txt
EXO-07,0,18/04/2024 12:15,26/06/2024 13:15,26/06/2024,1658,NA,65068521,data/data_sensors/EXO-T07/EXO-07-0-2024_06_26.txt
EXO-07,1,18/04/2024 12:15,26/06/2024 13:15,26/06/2024,1658,NA,65068938,data/data_sensors/EXO-T07/EXO-07-1-2024_06_26.txt
EXO-07,2,18/04/2024 12:15,26/06/2024 13:15,26/06/2024,1658,NA,65068582,data/data_sensors/EXO-T07/EXO-07-2-2024_06_26.txt
EXO-07,0,19/07/2024 12:30,26/09/2024 12:30,26/09/2024,1657,NA,65068521,data/data_sensors/EXO-T07/EXO-07-0-2024_09_26.txt
EXO-07,1,19/07/2024 12:30,26/09/2024 12:30,26/09/2024,1657,NA,65068938,data/data_sensors/EXO-T07/EXO-07-1-2024_09_26.txt
EXO-07,2,19/07/2024 12:30,26/09/2024 12:30,26/09/2024,1657,NA,65068582,data/data_sensors/EXO-T07/EXO-07-2-2024_09_26.txt
EXO-08,0,27/06/2024 08:30,20/07/2024 16:30,20/07/2024,561,NA,65068798,data/data_sensors/EXO-T08/EXO-08-0-2024_07_20.txt
EXO-08,1,27/06/2024 08:30,20/07/2024 16:30,20/07/2024,561,NA,65006540,data/data_sensors/EXO-T08/EXO-08-1-2024_07_20.txt
EXO-08,2,27/06/2024 08:30,20/07/2024 16:30,20/07/2024,561,NA,65067139,data/data_sensors/EXO-T08/EXO-08-2-2024_07_20.txt
EXO-08,0,09/04/2024 11:30,25/06/2024 10:30,25/06/2024,1848,NA,65068798,data/data_sensors/EXO-T08/EXO-08-0-2024_06_25.txt
EXO-08,1,09/04/2024 11:30,25/06/2024 10:30,25/06/2024,1848,Data logger on the ground,65006540,data/data_sensors/EXO-T08/EXO-08-1-2024_06_25.txt
EXO-08,2,09/04/2024 11:30,25/06/2024 10:30,25/06/2024,1848,Data logger on the ground,65067139,data/data_sensors/EXO-T08/EXO-08-2-2024_06_25.txt
EXO-08,0,20/07/2024 16:45,25/09/2024 08:45,25/09/2024,1601,NA,65068798,data/data_sensors/EXO-T08/EXO-08-0-2024_09_25.txt
EXO-08,1,20/07/2024 16:45,25/09/2024 08:45,25/09/2024,1601,NA,65006540,data/data_sensors/EXO-T08/EXO-08-1-2024_09_25.txt
EXO-08,2,20/07/2024 16:45,25/09/2024 08:45,25/09/2024,1601,NA,65067139,data/data_sensors/EXO-T08/EXO-08-2-2024_09_25.txt
EXO-09,0,27/06/2024 10:00,27/06/2024 12:00,20/07/2024,3,Data logger stopped,65006642,data/data_sensors/EXO-T09/EXO-09-0-2024_07_20.txt
EXO-09,1,27/06/2024 10:15,20/07/2024 18:15,20/07/2024,561,NA,65067227,data/data_sensors/EXO-T09/EXO-09-1-2024_07_20.txt
EXO-09,2,27/06/2024 10:15,20/07/2024 18:15,20/07/2024,561,NA,65006556,data/data_sensors/EXO-T09/EXO-09-2-2024_07_20.txt
EXO-09,1,27/05/2024 11:30,27/06/2024 09:30,27/06/2024,743,NA,65067227,data/data_sensors/EXO-T09/EXO-09-1-2024_06_27.txt
EXO-09,2,27/05/2024 11:30,27/06/2024 09:30,27/06/2024,743,NA,65006556,data/data_sensors/EXO-T09/EXO-09-2-2024_06_27.txt
EXO-09,0,21/03/2024 12:30,27/05/2024 09:30,27/05/2024,1606,NA,10220716,data/data_sensors/EXO-T09/EXO-09-0-2024_05_27.txt
EXO-09,1,21/03/2024 12:30,22/03/2024 11:30,27/05/2024,24,Data logger failed Data logger replacement,65006642,data/data_sensors/EXO-T09/EXO-09-1-2024_05_27.txt
EXO-09,2,21/03/2024 12:30,27/05/2024 10:30,27/05/2024,1607,NA,65006556,data/data_sensors/EXO-T09/EXO-09-2-2024_05_27.txt
EXO-09,1,20/07/2024 18:30,27/09/2024 11:30,27/09/2024,1650,NA,65067227,data/data_sensors/EXO-T09/EXO-09-1-2024_09_27.txt
EXO-09,2,20/07/2024 18:30,27/09/2024 11:30,27/09/2024,1650,NA,65006556,data/data_sensors/EXO-T09/EXO-09-2-2024_09_27.txt
EXO-10,0,27/05/2024 09:30,20/07/2024 17:30,20/07/2024,1305,NA,134,data/data_sensors/EXO-T10/EXO-10-0-2024_07_20.txt
EXO-10,1,27/05/2024 09:30,20/07/2024 17:30,20/07/2024,1305,NA,653,data/data_sensors/EXO-T10/EXO-10-1-2024_07_20.txt
EXO-10,2,27/05/2024 09:30,20/07/2024 17:30,20/07/2024,,NA,347,data/data_sensors/EXO-T10/EXO-10-2-2024_07_20.txt
EXO-10,0,21/03/2024 11:00,27/05/2024 08:00,27/05/2024,1606,NA,134,data/data_sensors/EXO-T10/EXO-10-0-2024_05_27.txt
EXO-10,1,21/03/2024 11:00,27/05/2024 08:00,27/05/2024,1606,NA,653,data/data_sensors/EXO-T10/EXO-10-1-2024_05_27.txt
EXO-10,2,21/03/2024 11:00,27/05/2024 08:00,27/05/2024,1606,NA,347,data/data_sensors/EXO-T10/EXO-10-2-2024_05_27.txt
EXO-10,0,20/07/2024 17:30,25/09/2024 09:30,25/09/2024,1601,NA,134,data/data_sensors/EXO-T10/EXO-10-0-2024_09_25.txt
