X,Y,locationID,locationName,habitat,canopy_height,SRTM_elevation,_slopemean,_sloperange,_aspectmean,_aspectrange
-27.2396584927273,38.6967831060606,TER-EXO-T01,Mata estado,exotic forest,16,425,2.80419766902924,0.742472887039185,160.949867248535,32.3196105957031
-27.26033453,38.6997135612121,TER-EXO-T02,Matela,exotic forest,10.6,394,3.38708585500717,1.28779339790344,260.279983520508,3.17984008789062
-27.35159037,38.7649328868182,TER-EXO-T04,Serreta 400,exotic forest,9.8,376,6.10991847515106,5.88158416748047,289.95751953125,1.197021484375
-27.2625395,38.7615997339394,TER-EXO-T09,Caparica Horses,exotic forest,18.8,417,6.25743973255157,1.55731153488159,319.074768066406,1.7899169921875
-27.2501494868182,38.75861316,TER-EXO-T10,Gruta dos Balcões,exotic forest,11.2,459,1.46491578221321,0.465244889259338,184.486320495605,332.102737426758
-27.261589184697,38.7710242821212,TER-PRIBS-T06,Caparica,exotic forest,15.6,336,4.25853684535338,5.90602672100067,327.770790100098,28.3007507324219
-27.1378448860606,38.7378029801515,TER-PRIBS-T09,Fontinhas,exotic forest,27.2,256,5.72030435785685,10.0031923055649,61.3676147460938,32.7352294921875
-27.1926807816667,38.7687072674242,TER-PRIBS-T15,Agualva,exotic forest,18.2,367,7.54581332206726,1.35837984085083,55.2800540924072,22.1094512939453
-27.24945067,38.7793934324242,TER-PRIBS-T27,Gruta Chocolade,exotic forest,30.8,271,11.0437319278717,1.29087352752686,276.758018034339,358.781127929688
-27.3099686727273,38.7687845528788,TER-PRIBS-T28,Pico Rachado,exotic forest,23.4,461,5.79279583692551,4.53549027442932,47.4684534072876,45.8713531494141
-27.2188025951515,38.7618814209091,TER-NFBF-T-01,Morro Assombrado,native forest,6,680,4.52870184183121,2.54927945137024,234.82691192627,19.6538238525391
-27.2331292057576,38.7521949128788,TER-NFBF-T-02,Biscoito da Ferraria,native forest,13.2,590,1.7258982360363,0.805053114891052,56.1900653839111,44.9999961853027
-27.2071363568182,38.7501759793939,TER-NFBF-TP41,Pico Alto,native forest,20.2,673,17.6445562839508,4.95937252044678,15.2895784378052,21.2271156311035
-27.2273031630303,38.7335211598485,TER-NFPG-T-33,Pico Galhardo,native forest,8.8,643,3.72004723548889,1.28549075126648,300.215225219727,35.3624572753906
-27.2900470051515,38.7373166139394,TER-NFSB-T-07,Lomba,native forest,10.6,683,17.0539615154266,7.79951953887939,88.0971164703369,7.14937591552734
-27.3077141578788,38.7353447956061,TER-NFSB-T164B,Caldeira Santa Bárbara,native forest,17.2,899,2.75327384471893,0.369367837905884,249.699340820312,77.47119140625
-27.3313581504545,38.7523821037879,TER-NFSB-TE48,Lagoinha,native forest,7.6,678,11.0817623138428,6.5275821685791,353.462028503418,6.36111450195312
-27.2006071969697,38.736477240303,TER-NFTB-T-15,Terra Brava A,native forest,12.4,637,5.62233865261078,4.43008899688721,189.41340637207,324.25439453125
-27.1972451777273,38.7320129613636,TER-NFTB-T-18,Terra Brava B,native forest,9.6,679,12.9204936027527,6.56890773773193,36.883246421814,38.1851043701172
