"effect" "component" "term" "estimate" "std.error" "statistic" "p.value" "conf.low" "conf.high" "response" "df" "p_adjusted_BH" "significant_BH"
"1" "fixed" "cond" "(Intercept)" 1.12709806925625 0.0310726980363723 36.2729386401183 4.32255241953745e-288 1.06619670020248 1.18799943831003 "GRD_DTR" NA 1.16708915327511e-286 TRUE
"2" "fixed" "cond" "energy_tot" 0.293216476670615 0.00948284315506743 30.920734623131 6.28831514932546e-210 0.27463044561564 0.311802507725589 "GRD_DTR" NA 1.13189672687858e-208 TRUE
"3" "fixed" "cond" "canopy_openess" 0.0809683235116677 0.0323388861784502 2.50374496712329 0.0122886578009776 0.0175852713017652 0.14435137572157 "GRD_DTR" NA 0.0457646566381236 TRUE
"4" "fixed" "cond" "northness" -0.0484237465530629 0.039256214173456 -1.23353073067871 0.217377818695847 -0.125364512502427 0.0285170193963016 "GRD_DTR" NA 0.392386010740578 FALSE
"5" "fixed" "cond" "eastness" 0.0166707231674657 0.0355777391871358 0.468571740317145 0.639375780849257 -0.0530603642906798 0.0864018106256112 "GRD_DTR" NA 0.795775279018228 FALSE
"6" "fixed" "cond" "ENL0D" 0.00623478035712746 0.050131336193279 0.124368924320899 0.90102317708695 -0.0920208330785686 0.104490393792824 "GRD_DTR" NA 0.95646976209703 FALSE
"7" "fixed" "cond" "SSCI" 0.0843375998855434 0.0390863210606476 2.1577267339815 0.0309490841434051 0.00772981831850474 0.160945381452582 "GRD_DTR" NA 0.0913256448313855 FALSE
"8" "fixed" "cond" "Elevation" -0.09620561013689 0.0446762065459899 -2.15339702214545 0.0312874894329747 -0.183769365932903 -0.00864185434087715 "GRD_DTR" NA 0.0913256448313855 FALSE
"9" "fixed" "cond" "Slope_30" 0.0567401930726188 0.0449381720148919 1.26262797369274 0.206722909822696 -0.031337005607635 0.144817391752873 "GRD_DTR" NA 0.388279552362629 FALSE
"10" "fixed" "cond" "foliage_height_diversity" -0.116424298762606 0.0587704378173354 -1.98100104553355 0.0475911563369924 -0.231612240240234 -0.00123635728497783 "GRD_DTR" NA 0.128496122109879 FALSE
"11" "fixed" "cond" "energy_tot:canopy_openess" 0.0456033121561357 0.00945796862466147 4.8216814800195 1.42353126413818e-06 0.0270660342848894 0.064140590027382 "GRD_DTR" NA 1.13882501131054e-05 TRUE
"12" "fixed" "cond" "energy_tot:northness" -0.0248247662129483 0.0123060352497285 -2.01728385374941 0.0436658996159659 -0.0489441520948964 -0.000705380331000115 "GRD_DTR" NA 0.121968153733122 FALSE
"13" "fixed" "cond" "energy_tot:eastness" -0.000327879996693851 0.0102934433669447 -0.0318532861167499 0.974589051995396 -0.0205026582728082 0.0198468982794205 "GRD_DTR" NA 0.995327322621459 FALSE
"14" "fixed" "cond" "energy_tot:ENL0D" -0.0368473619446156 0.014838200020519 -2.48327707495931 0.0130179786923069 -0.0659296995802343 -0.00776502430899687 "GRD_DTR" NA 0.0476590406362423 TRUE
"15" "fixed" "cond" "energy_tot:SSCI" 0.0419264816786879 0.0121797433864194 3.4423123992445 0.000576763758934196 0.0180546233003659 0.0657983400570099 "GRD_DTR" NA 0.00311452429824466 TRUE
"16" "fixed" "cond" "energy_tot:Elevation" -0.0359611008595859 0.0126243655754853 -2.84854717209848 0.00439193419758583 -0.0607044027152043 -0.0112177990039675 "GRD_DTR" NA 0.020184208227203 TRUE
"17" "fixed" "cond" "energy_tot:Slope_30" -0.0117282232404565 0.014017098413974 -0.836708346769139 0.402756526272518 -0.039201231299599 0.015744784818686 "GRD_DTR" NA 0.604134789408777 FALSE
"18" "fixed" "cond" "energy_tot:foliage_height_diversity" 0.0191621576292511 0.0175209914130862 1.09366857031499 0.274100363531609 -0.0151783545138333 0.0535026697723356 "GRD_DTR" NA 0.46254436345959 FALSE
"19" "fixed" "cond" "(Intercept)" -4.49448173075531 0.191951497250692 -23.4146739938446 3.02934707358539e-121 -4.8706997521452 -4.11826370936541 "GRD_DVPDR" NA 4.67384977067461e-120 TRUE
"20" "fixed" "cond" "energy_tot" 0.712779871391184 0.0327397077743677 21.7711128121072 4.35918062010572e-105 0.648611223289057 0.77694851949331 "GRD_DVPDR" NA 6.27722009295223e-104 TRUE
"21" "fixed" "cond" "canopy_openess" 0.465080225999788 0.199732899147905 2.32851086618129 0.0198849929346538 0.0736109371421234 0.856549514857452 "GRD_DVPDR" NA 0.0654234813969568 FALSE
"22" "fixed" "cond" "northness" 0.122809938252568 0.253666340058856 0.484139670340469 0.628286749067607 -0.374366952352881 0.619986828858016 "GRD_DVPDR" NA 0.793625367243293 FALSE
"23" "fixed" "cond" "eastness" 0.130292107311904 0.215449908820182 0.604744314005015 0.545348899003177 -0.291981954448091 0.552566169071899 "GRD_DVPDR" NA 0.736221013654289 FALSE
"24" "fixed" "cond" "ENL0D" -0.546163592061251 0.309483083609327 -1.76476072841091 0.0776039874096637 -1.15273928975993 0.0604121056374283 "GRD_DVPDR" NA 0.190482514550993 FALSE
"25" "fixed" "cond" "SSCI" 0.257920472290135 0.249806611668638 1.03248056793733 0.301847046200272 -0.231691489680379 0.74753243426065 "GRD_DVPDR" NA 0.495933781446956 FALSE
